condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,eval_seed,scan_id,scan_replicate,start_index,window_start,trajectory_seed,return,collisions,collision_rate,switches,switch_rate,steps,terminated,truncated
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1005,8,2,246,246,1164639609,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1006,9,2,381,381,1755513553,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1007,8,3,414,414,1968337963,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1008,9,3,540,540,1011379023,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1009,8,4,307,307,113591513,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1010,9,4,259,259,1879995497,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1011,8,5,375,375,35167692,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1012,9,5,26,26,1950703055,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1013,8,6,346,346,353600298,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1014,9,6,208,208,430395198,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1015,8,7,417,417,799679715,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1016,9,7,279,279,1468889584,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1017,8,8,482,482,498078359,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1018,9,8,300,300,1988742220,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1019,8,9,185,185,1321941717,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,stay,,1020,9,9,160,160,199798587,74.0,13,0.13,0,0.0,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1001,8,0,141,141,417139048,95.50000000000003,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1002,9,0,102,102,616035509,95.50000000000003,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1003,8,1,171,171,53462609,95.80000000000005,0,0.0,42,0.42,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1004,9,1,252,252,54101657,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1005,8,2,246,246,1164639609,95.50000000000009,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1006,9,2,381,381,1755513553,95.30000000000003,0,0.0,47,0.47,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1007,8,3,414,414,1968337963,96.00000000000004,0,0.0,40,0.4,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1008,9,3,540,540,1011379023,96.90000000000003,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1009,8,4,307,307,113591513,95.50000000000003,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1010,9,4,259,259,1879995497,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1011,8,5,375,375,35167692,96.10000000000004,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1012,9,5,26,26,1950703055,95.20000000000005,0,0.0,48,0.48,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1013,8,6,346,346,353600298,95.70000000000007,0,0.0,43,0.43,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1014,9,6,208,208,430395198,96.50000000000001,0,0.0,35,0.35,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1015,8,7,417,417,799679715,95.90000000000005,0,0.0,41,0.41,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1016,9,7,279,279,1468889584,97.10000000000004,0,0.0,29,0.29,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1017,8,8,482,482,498078359,95.90000000000005,0,0.0,41,0.41,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1018,9,8,300,300,1988742220,96.90000000000006,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1019,8,9,185,185,1321941717,95.70000000000003,0,0.0,43,0.43,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,max_quality,,1020,9,9,160,160,199798587,95.70000000000006,0,0.0,43,0.43,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1001,8,0,141,141,417139048,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1002,9,0,102,102,616035509,96.20000000000005,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1003,8,1,171,171,53462609,96.40000000000003,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1004,9,1,252,252,54101657,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1005,8,2,246,246,1164639609,96.70000000000005,0,0.0,33,0.33,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1006,9,2,381,381,1755513553,96.20000000000005,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1007,8,3,414,414,1968337963,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1008,9,3,540,540,1011379023,97.10000000000002,0,0.0,29,0.29,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1009,8,4,307,307,113591513,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1010,9,4,259,259,1879995497,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1011,8,5,375,375,35167692,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1012,9,5,26,26,1950703055,96.00000000000004,0,0.0,40,0.4,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1013,8,6,346,346,353600298,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1014,9,6,208,208,430395198,96.90000000000002,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1015,8,7,417,417,799679715,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1016,9,7,279,279,1468889584,97.10000000000004,0,0.0,29,0.29,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1017,8,8,482,482,498078359,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1018,9,8,300,300,1988742220,96.90000000000006,0,0.0,31,0.31,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1019,8,9,185,185,1321941717,96.50000000000003,0,0.0,35,0.35,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,threshold,,1020,9,9,160,160,199798587,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1001,8,0,141,141,417139048,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1002,9,0,102,102,616035509,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1003,8,1,171,171,53462609,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1004,9,1,252,252,54101657,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1005,8,2,246,246,1164639609,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1006,9,2,381,381,1755513553,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1007,8,3,414,414,1968337963,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1008,9,3,540,540,1011379023,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1009,8,4,307,307,113591513,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1010,9,4,259,259,1879995497,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1011,8,5,375,375,35167692,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1012,9,5,26,26,1950703055,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1013,8,6,346,346,353600298,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1014,9,6,208,208,430395198,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1015,8,7,417,417,799679715,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1016,9,7,279,279,1468889584,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1017,8,8,482,482,498078359,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1018,9,8,300,300,1988742220,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1019,8,9,185,185,1321941717,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,schedule_sweep,,1020,9,9,160,160,199798587,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1001,8,0,141,141,417139048,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1002,9,0,102,102,616035509,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1003,8,1,171,171,53462609,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1004,9,1,252,252,54101657,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1005,8,2,246,246,1164639609,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1006,9,2,381,381,1755513553,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1007,8,3,414,414,1968337963,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1008,9,3,540,540,1011379023,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1009,8,4,307,307,113591513,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1010,9,4,259,259,1879995497,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1011,8,5,375,375,35167692,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1012,9,5,26,26,1950703055,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1013,8,6,346,346,353600298,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1014,9,6,208,208,430395198,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1015,8,7,417,417,799679715,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1016,9,7,279,279,1468889584,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1017,8,8,482,482,498078359,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1018,9,8,300,300,1988742220,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1019,8,9,185,185,1321941717,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,jammer_greedy,,1020,9,9,160,160,199798587,97.50000000000003,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1001,8,0,141,141,417139048,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1002,9,0,102,102,616035509,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1003,8,1,171,171,53462609,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1004,9,1,252,252,54101657,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1005,8,2,246,246,1164639609,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1006,9,2,381,381,1755513553,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1007,8,3,414,414,1968337963,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1008,9,3,540,540,1011379023,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1009,8,4,307,307,113591513,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1010,9,4,259,259,1879995497,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1011,8,5,375,375,35167692,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1012,9,5,26,26,1950703055,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1013,8,6,346,346,353600298,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1014,9,6,208,208,430395198,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1015,8,7,417,417,799679715,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1016,9,7,279,279,1468889584,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1017,8,8,482,482,498078359,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1018,9,8,300,300,1988742220,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1019,8,9,185,185,1321941717,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,clairvoyant_oracle,,1020,9,9,160,160,199798587,98.60000000000002,0,0.0,14,0.14,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1001,8,0,141,141,417139048,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1002,9,0,102,102,616035509,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1003,8,1,171,171,53462609,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1004,9,1,252,252,54101657,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1005,8,2,246,246,1164639609,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1006,9,2,381,381,1755513553,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1007,8,3,414,414,1968337963,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1008,9,3,540,540,1011379023,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1009,8,4,307,307,113591513,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1010,9,4,259,259,1879995497,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1011,8,5,375,375,35167692,96.40000000000005,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1012,9,5,26,26,1950703055,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1013,8,6,346,346,353600298,96.40000000000003,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1014,9,6,208,208,430395198,96.20000000000005,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1015,8,7,417,417,799679715,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1016,9,7,279,279,1468889584,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1017,8,8,482,482,498078359,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1018,9,8,300,300,1988742220,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1019,8,9,185,185,1321941717,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,1020,9,9,160,160,199798587,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1001,8,0,141,141,417139048,96.20000000000006,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1002,9,0,102,102,616035509,96.30000000000005,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1003,8,1,171,171,53462609,96.10000000000007,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1004,9,1,252,252,54101657,96.20000000000006,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1005,8,2,246,246,1164639609,95.60000000000002,0,0.0,44,0.44,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1006,9,2,381,381,1755513553,96.40000000000005,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1007,8,3,414,414,1968337963,96.70000000000005,0,0.0,33,0.33,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1008,9,3,540,540,1011379023,96.50000000000004,0,0.0,35,0.35,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1009,8,4,307,307,113591513,96.20000000000006,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1010,9,4,259,259,1879995497,96.10000000000007,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1011,8,5,375,375,35167692,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1012,9,5,26,26,1950703055,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1013,8,6,346,346,353600298,96.10000000000005,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1014,9,6,208,208,430395198,96.10000000000004,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1015,8,7,417,417,799679715,96.80000000000004,0,0.0,32,0.32,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1016,9,7,279,279,1468889584,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1017,8,8,482,482,498078359,96.40000000000005,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1018,9,8,300,300,1988742220,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1019,8,9,185,185,1321941717,95.80000000000007,0,0.0,42,0.42,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,1020,9,9,160,160,199798587,96.10000000000004,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1001,8,0,141,141,417139048,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1002,9,0,102,102,616035509,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1003,8,1,171,171,53462609,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1004,9,1,252,252,54101657,92.60000000000008,0,0.0,74,0.74,100,False,True
